"country_id","category","value"
"CUB","159f",0
"CUB","159g",0
"CUB","159h",0
"CUB","159i",0
"CUB","159j",1
"CUB","159k",0
"CUB","159l",0
"CUB","160b",0
"CUB","160c",0
"CUB","160d",0
"CUB","160e",0
"CUB","79x",0.666666666667
"CUB","80x",1
"CUB","82x",0.666666666667
"CYP","153a",1
"CYP","153b",1
"CYP","153c",1
"CYP","153d",1
"CYP","153e",1
"CYP","153f",1
"CYP","153g",1
"CYP","158a",1
"CYP","158b",1
"CYP","158c",1
"CYP","158d",1
"CYP","158f",0
"CYP","158g",1
"CYP","158h",1
"CYP","159a",1
"CYP","159b",1
"CYP","159c",1
"CYP","159e",0
"CYP","159f",0
"CYP","159g",1
"CYP","159h",0
"CYP","159i",0
"CYP","159j",1
"CYP","159k",1
"CYP","159l",0
"CYP","160b",0
"CYP","160c",0
"CYP","160d",1
"CYP","160e",1
"CYP","79x",1
"CYP","80x",1
"CYP","82x",0.666666666667
"CZE","153a",1
"CZE","153b",1
"CZE","153c",1
"CZE","153d",1
"CZE","153e",1
"CZE","153f",1
"CZE","153g",1
"CZE","158a",0
